timestamp,year,month,day,hour,day_of_week,season,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,cloud_coverage,precipitation,energy_produced,energy_demand,surplus
2022-01-01 00:00:00,2022,1,1,0,2,3,6.2149448909658975,5.187531705388612,74.63554520341837,1013.6017495768858,4.620931813431252,316,96,0.0,1048.7388130888444,769.5978111087301,279.1410019801143
2022-01-01 01:00:00,2022,1,1,1,2,3,4.944987982601062,5.330205048333935,63.30219031172096,1016.6022844753804,4.168109678039325,210,91,0.0,1062.971823673281,769.1479248357474,293.82389883753365
2022-01-01 02:00:00,2022,1,1,2,2,3,6.516893661144817,5.158675653693915,63.840717581181366,1008.70706887185,3.657759233563282,82,70,0.0,1039.47094222478,769.5325910384391,269.9383511863408
2022-01-01 03:00:00,2022,1,1,3,2,3,8.267576297759483,7.738125959985652,72.67303250540225,1021.4775790962492,3.956829086139608,355,99,0.0,1022.7048240774392,787.2843952030112,235.420428874428
2022-01-01 04:00:00,2022,1,1,4,2,3,4.75320983549676,5.435459230253744,69.45679517816073,1002.7641655741828,3.270258533245423,117,99,0.0,1058.9857340754374,751.0989174591926,307.8868166162448
2022-01-01 05:00:00,2022,1,1,5,2,3,4.75324267104507,4.014661107220674,67.50262449528775,1020.2770474108602,3.4531695859446376,302,49,0.0,1074.8767855776189,763.1636571516498,311.7131284259691
2022-01-01 06:00:00,2022,1,1,6,2,3,8.379942215958215,7.488030118756066,74.85662283502893,1012.7740723578742,3.3315378467265706,26,40,0.0,1057.3622500837816,779.8864657785242,277.47578430525743
2022-01-01 07:00:00,2022,1,1,7,2,3,6.7563860432492495,7.660607956644552,70.71578032550113,1018.012899071358,2.9999081315586693,208,97,0.0,1113.877757972754,760.1452819652258,353.73247600752813
2022-01-01 08:00:00,2022,1,1,8,2,3,4.282567813073528,4.481225521254748,70.04077034950379,1014.8192021714632,4.130060825746922,124,100,0.0,1159.196622104129,761.0903949091429,398.106227194986
2022-01-01 09:00:00,2022,1,1,9,2,3,6.306636672115361,6.129538081167659,73.67762661883182,1014.730172054554,3.541923159300592,275,69,0.0,1166.976989345019,827.435787862244,339.54120148277514
2022-01-01 10:00:00,2022,1,1,10,2,3,4.294681199318507,3.8558830784238,67.90293844033874,1015.7712723801326,1.678927453339563,297,98,0.0938743337203972,1197.464877892731,739.5343609600156,457.93051693271536
2022-01-01 11:00:00,2022,1,1,11,2,3,4.290057077802918,2.370008106770556,77.62107834241934,1017.0452714454387,3.793311578283981,296,26,0.0,1237.2083043838654,970.0308734053162,267.1774309785492
2022-01-01 12:00:00,2022,1,1,12,2,3,5.7054411280755,7.064680392001899,65.83824529889154,1011.3558458670636,3.3708705995689567,71,29,1.3645970906885925,1236.1969819136973,976.1356939404794,260.0612879732179
2022-01-01 13:00:00,2022,1,1,13,2,3,1.394956095627836,1.718471473831244,73.063128746767,1018.1739956526312,3.9171202033726487,57,31,1.7674794148183737,1276.889803886194,944.6752034618702,332.21460042432375
2022-01-01 14:00:00,2022,1,1,14,2,3,1.7716809199173662,1.121493631793714,76.9476476083558,1007.577646882106,2.843689629577457,295,82,2.913010620131672,1275.9196901449684,791.224397563822,484.6952925811464
2022-01-01 15:00:00,2022,1,1,15,2,3,4.096941526461486,4.451933495892652,62.89200596869607,1012.9733471333694,4.217610470650737,118,21,0.0,1249.291257561361,924.2670417511788,325.0242158101821
2022-01-01 16:00:00,2022,1,1,16,2,3,3.195854344274584,3.622831522805303,68.06180753579433,1017.1798496213614,2.9078871737007645,61,84,0.0,1250.7288417948887,776.6372176159837,474.091624178905
2022-01-01 17:00:00,2022,1,1,17,2,3,5.85001125013398,4.423268190934033,75.48952037948436,1017.9750878980794,4.085819529900817,86,68,0.1291678728668958,1212.7056942499596,790.6450981229484,422.0605961270112
2022-01-01 18:00:00,2022,1,1,18,2,3,3.40546843390101,2.6647262793300164,75.5647061537117,1015.303944241307,2.315292726074233,325,20,0.0,1214.5842160338325,744.5462524123571,470.03796362147534
2022-01-01 19:00:00,2022,1,1,19,2,3,2.3969091822728488,2.69287017453748,68.92100541311537,1011.0330378102212,2.419118918851571,98,55,0.0,1197.7373954914844,733.5992539186451,464.13814157283934
2022-01-01 20:00:00,2022,1,1,20,2,3,8.15281412278654,6.49520206057648,66.10512794667227,1017.4835388918436,3.903078784815187,123,83,0.0,1120.708916666582,774.0841607887616,346.62475587782035
2022-01-01 21:00:00,2022,1,1,21,2,3,4.76996398397036,4.958520051536242,74.55816252671038,1009.6531688044064,2.502339909382884,6,30,0.0,1119.2083328630852,754.5994459776206,364.6088868854646
2022-01-01 22:00:00,2022,1,1,22,2,3,5.356572994319279,3.867586808957154,75.6962289279646,1021.7570453687446,6.308674042122242,133,100,10.799249567351604,1092.2771630275115,786.8113797806022,305.46578324690927
2022-01-01 23:00:00,2022,1,1,23,2,3,2.372020212516518,0.8475784070081752,63.9551666724946,1012.5766455125016,3.84966748016854,282,58,0.0,1102.896356622054,752.8984623318975,349.99789429015664
2022-01-02 00:00:00,2022,1,2,0,3,3,4.17022999922543,2.6291539744500216,63.7214363068923,1005.3018715289702,3.037385229231301,1,69,0.0,1070.8165593136428,752.2881012498261,318.52845806381663
